link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental impacts,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic certification,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community (4C),Certification
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural science,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural History Review,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Arab Agricultural Revolution,Historical Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Indian subcontinent,Geographic Location
https://en.wikipedia.org/wiki/Sustainable_agriculture,Neolithic Revolution,Historical Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,British Agricultural Revolution,Historical Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Convertible husbandry,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Steam sterilization,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural cooperative,Organization Type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural supplies,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural engineering,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural technology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Animal-free agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Cellular agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Mechanised agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Universities and colleges,Organization Type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculturist profession,Profession
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural machinery,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Government ministries,Organization Type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculture by country,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculture companies,Organization Type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Cannabis cultivation,Agricultural Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,History of agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agriculture and the environment,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,USDA,Organization
https://en.wikipedia.org/wiki/Sustainable_agriculture,integrated system of plant and animal production practices,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,site-specific application,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,human food and fiber needs,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental quality,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural resource base,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,nonrenewable resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,on-farm resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural biological cycles and controls,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,economic viability of farm operations,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,quality of life for farmers,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,indigenous communities,Group
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable relationship with the land,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable farming,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,growing populations,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,environment,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,communities,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,technology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainability field,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farm productivity,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,carrying capacity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,planetary boundaries,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,humanity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,biological and ecological processes,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,nutrient cycling,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil regeneration,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,nitrogen fixation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,agricultural and food production practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,non-renewable inputs,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,unsustainable inputs,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmentally harmful inputs,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,farmers' expertise,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,self-reliance,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,self-sufficiency,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,cooperation and collaboration,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,pest management,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,irrigation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,long-term economics,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,short-term economics,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,agricultural environments,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,endless regeneration,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,resource conservation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,livelihood of farmers,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,reconciliation ecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,human landscapes,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmentally-focused appropriate technology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,technological approaches,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agricultural systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI research and development,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,resource optimization,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop health monitoring,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,yield prediction,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,AI-controlled irrigation systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,water consumption,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil moisture levels,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,weather conditions,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,water management technology,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,mobile soil analysis,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil fertility,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecological footprint,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Intelligent systems,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,weeds,Pest
https://en.wikipedia.org/wiki/Sustainable_agriculture,pests,Pest
https://en.wikipedia.org/wiki/Sustainable_agriculture,plant disease,Pest
https://en.wikipedia.org/wiki/Sustainable_agriculture,farming productivity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,2023 review article,Document
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroecology,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,ecological practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,digitalization,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,precision breeding,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agrivoltaics,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,solar panels,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,clean energy,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,land use,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,microclimates,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,eco-friendly farming practices,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Environmental factors,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,soil erosion,Environmental degradation
https://en.wikipedia.org/wiki/Sustainable_agriculture,excessive tilling,Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,irrigation without adequate drainage,Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,salinization,Environmental degradation
https://en.wikipedia.org/wiki/Sustainable_agriculture,Conservation farming,Practice
https://en.wikipedia.org/wiki/Sustainable_agriculture,Zambia,Location
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate,Environmental factor
https://en.wikipedia.org/wiki/Sustainable_agriculture,water resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,nutrient depletion,Environmental degradation
https://en.wikipedia.org/wiki/Sustainable_agriculture,non-renewable resources,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural gas,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,mineral ores,Resource
https://en.wikipedia.org/wiki/Sustainable_agriculture,fertilizer,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,manure,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,eutrophication,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop yields,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,rainforest destruction,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Asia,Location
https://en.wikipedia.org/wiki/Sustainable_agriculture,12.5 acres,Measurement
https://en.wikipedia.org/wiki/Sustainable_agriculture,5.1 ha,Measurement
https://en.wikipedia.org/wiki/Sustainable_agriculture,animal fodder,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,cereal production,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,cash crop,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,food crops,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,aquaculture,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,AARI-1996,Reference
https://en.wikipedia.org/wiki/Sustainable_agriculture,Nitrates,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,leaching,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop waste,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,treated human manure,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,legume crops,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,forages,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,peanuts,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,alfalfa,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,nitrogen-fixing bacteria,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,rhizobia,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,industrial production of nitrogen,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Haber process,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,hydrogen,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,electrolysis of water,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,renewable electricity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,genetically engineering crops,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,non-legume crops,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,microbial symbionts,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,1970s,Time
https://en.wikipedia.org/wiki/Sustainable_agriculture,phosphorus,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,potassium,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotations,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural cycles,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,flooding of the Nile,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,biochar,Substance
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop and livestock landraces,Organism
https://en.wikipedia.org/wiki/Sustainable_agriculture,drought,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,fertilizer management practices,Process
https://www.nature.com/articles/d41586-025-03353-5,ageing,Process
https://www.nature.com/articles/d41586-025-03353-5,brain volume reduction,Process
https://www.nature.com/articles/d41586-025-03353-5,longitudinal study,Process
https://www.nature.com/articles/d41586-025-03353-5,Proceedings of the National Academy of Sciences,Concept
https://www.nature.com/articles/d41586-025-03353-5,Alzheimer’s disease,Disease
https://www.nature.com/articles/d41586-025-03353-5,"Ravndal, A. et al.",Person
https://www.nature.com/articles/d41586-025-03353-5,lithium supplement,Drug
https://www.nature.com/articles/d41586-025-03353-5,memory loss,Symptom
https://www.nature.com/articles/d41586-025-03353-5,mice,Organism
https://www.nature.com/articles/d41586-025-03353-5,Huntington’s disease,Disease
https://www.nature.com/articles/d41586-025-03353-5,gene therapy,Process
https://www.nature.com/articles/d41586-025-03353-5,zombie cells,Concept
https://www.nature.com/articles/d41586-025-03353-5,brain scans,Process
https://www.nature.com/articles/d41586-025-03353-5,Nature Portfolio,Concept
https://www.nature.com/articles/d41586-025-03353-5,spatial proteomics,Process
https://www.nature.com/articles/d41586-025-03353-5,iPEX,Process
https://www.nature.com/articles/d41586-025-03353-5,tissue expansion,Process
https://www.nature.com/articles/d41586-025-03353-5,psychedelics,Drug
https://www.nature.com/articles/d41586-025-03353-5,obesity drugs,Drug
https://www.nature.com/articles/d41586-025-03353-5,addiction treatment,Process
https://www.nature.com/articles/d41586-025-03353-5,RFK,Person
https://www.nature.com/articles/d41586-025-03353-5,JD Vance,Person
https://www.nature.com/articles/d41586-025-03353-5,immortality,Concept
https://www.nature.com/articles/d41586-025-03353-5,genetic diversity,Concept
https://www.nature.com/articles/d41586-025-03353-5,mosaics,Concept
https://www.nature.com/articles/d41586-025-03353-5,brain cells,CellType
https://www.nature.com/articles/d41586-025-03353-5,silent brain cells,CellType
https://www.nature.com/articles/d41586-025-03353-5,Nature Computational Science,Concept
https://www.nature.com/articles/d41586-025-03353-5,Associate or Senior Editor,JobTitle
https://www.nature.com/articles/d41586-025-03353-5,Shanghai,Location
https://www.nature.com/articles/d41586-025-03353-5,Beijing,Location
https://www.nature.com/articles/d41586-025-03353-5,New York,Location
https://www.nature.com/articles/d41586-025-03353-5,New Jersey,Location
https://www.nature.com/articles/d41586-025-03353-5,Hybrid Working Model,Concept
https://www.nature.com/articles/d41586-025-03353-5,Principal Investigator,Position
https://www.nature.com/articles/d41586-025-03353-5,Assistant Investigator,Position
https://www.nature.com/articles/d41586-025-03353-5,Associate Investigator,Position
https://www.nature.com/articles/d41586-025-03353-5,Senior Investigator,Position
https://www.nature.com/articles/d41586-025-03353-5,The Institute for Molecular and Cellular Therapeutics,Organization
https://www.nature.com/articles/d41586-025-03353-5,The Chinese Institutes for Medical Research,Organization
https://www.nature.com/articles/d41586-025-03353-5,Institute for Cancer Research,Organization
https://www.nature.com/articles/d41586-025-03353-5,Dean of Systems Hub,Position
https://www.nature.com/articles/d41586-025-03353-5,Guangzhou,Location
https://www.nature.com/articles/d41586-025-03353-5,Guangdong,Location
https://www.nature.com/articles/d41586-025-03353-5,CN,Location
https://www.nature.com/articles/d41586-025-03353-5,The Hong Kong University of Science and Technology (Guangzhou),Organization
https://www.nature.com/articles/d41586-025-03353-5,Dean of Function Hub,Position
https://www.fao.org/3/y4671e/y4671e06.htm,chronic food insecurity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,transitory food insecurity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,trade liberalization,Process
https://www.fao.org/3/y4671e/y4671e06.htm,2002 food crisis in Southern Africa,Event
https://www.fao.org/3/y4671e/y4671e06.htm,food security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,World Food Summit (WFS),Event
https://www.fao.org/3/y4671e/y4671e06.htm,1996,Date
https://www.fao.org/3/y4671e/y4671e06.htm,1974,Date
https://www.fao.org/3/y4671e/y4671e06.htm,FAO,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,World Bank,Organization
https://www.fao.org/3/y4671e/y4671e06.htm,World Food Conference of 1974,Event
https://www.fao.org/3/y4671e/y4671e06.htm,global food crisis,Event
https://www.fao.org/3/y4671e/y4671e06.htm,international negotiation,Process
https://www.fao.org/3/y4671e/y4671e06.htm,institutional arrangements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,information,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,resources for promoting food security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,policy issues,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,public policy,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,technical issues,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,price stability of basic foodstuffs,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,global food economy,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,mid-1970s,Date
https://www.fao.org/3/y4671e/y4671e06.htm,mid-1980s,Date
https://www.fao.org/3/y4671e/y4671e06.htm,famine,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,hunger,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food crisis,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,vulnerable people,Population Group
https://www.fao.org/3/y4671e/y4671e06.htm,affected people,Population Group
https://www.fao.org/3/y4671e/y4671e06.htm,Green Revolution,Process
https://www.fao.org/3/y4671e/y4671e06.htm,poverty,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,malnutrition,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,lack of effective demand,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,volume of food supplies,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,stability of food supplies,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,basic foodstuffs,Commodity
https://www.fao.org/3/y4671e/y4671e06.htm,food consumption,Process
https://www.fao.org/3/y4671e/y4671e06.htm,fluctuations in production,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,fluctuations in prices,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,physical access,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,economic access,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,structural poverty,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,low incomes,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,natural disasters,Event
https://www.fao.org/3/y4671e/y4671e06.htm,economic collapse,Economic Condition
https://www.fao.org/3/y4671e/y4671e06.htm,conflict,Event
https://www.fao.org/3/y4671e/y4671e06.htm,"active, healthy life",Concept
https://www.fao.org/3/y4671e/y4671e06.htm,protein-energy malnutrition,Condition
https://www.fao.org/3/y4671e/y4671e06.htm,food safety,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,nutritional balance,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food composition,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,minor nutrient requirements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food preferences,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,context specificity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,human security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,human rights perspective,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,development,Process
https://www.fao.org/3/y4671e/y4671e06.htm,WIDER investigation,Study
https://www.fao.org/3/y4671e/y4671e06.htm,public action,Process
https://www.fao.org/3/y4671e/y4671e06.htm,deprivation,Condition
https://www.fao.org/3/y4671e/y4671e06.htm,social security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,health,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,nutrition,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,The State of Food Insecurity 2001,Document
https://www.fao.org/3/y4671e/y4671e06.htm,consumption,Process
https://www.fao.org/3/y4671e/y4671e06.htm,demand side,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,access,Process
https://www.fao.org/3/y4671e/y4671e06.htm,Amartya Sen,Person
https://www.fao.org/3/y4671e/y4671e06.htm,entitlements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,individuals,Group
https://www.fao.org/3/y4671e/y4671e06.htm,households,Group
https://www.fao.org/3/y4671e/y4671e06.htm,international community,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,common goals,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,implied responsibilities,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,practical response,Process
https://www.fao.org/3/y4671e/y4671e06.htm,narrower objectives,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,international development policy discourse,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,reduction and elimination of poverty,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,halving of the number of hungry or undernourished people by 2015,Goal
https://www.fao.org/3/y4671e/y4671e06.htm,nutritional status,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,individual household member,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,vulnerability,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,chronic phenomenon,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,transitory phenomenon,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,Household food security,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,Food insecurity,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,Sub-nutrition,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,dietary energy requirements,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food balance sheets,Measurement
https://www.fao.org/3/y4671e/y4671e06.htm,national income distribution,Measurement
https://www.fao.org/3/y4671e/y4671e06.htm,consumer expenditure data,Measurement
https://www.fao.org/3/y4671e/y4671e06.htm,inadequate food intake,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,staple foods,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,energy intake,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,SOFI 2001,Document
https://www.fao.org/3/y4671e/y4671e06.htm,international cross-sectional comparisons,Process
https://www.fao.org/3/y4671e/y4671e06.htm,national time series comparisons,Process
https://www.fao.org/3/y4671e/y4671e06.htm,per capita availability of staple foods,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,apparent consumption,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food expenditure,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,income categories,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,consumer expenditure surveys,Process
https://www.fao.org/3/y4671e/y4671e06.htm,poverty lines,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,dietary energy intake,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,correlation,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,extreme poverty,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,food production,Process
https://www.fao.org/3/y4671e/y4671e06.htm,trade in basic foodstuffs,Process
https://www.fao.org/3/y4671e/y4671e06.htm,cereals,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,national food balance sheets,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,low income countries,Category
https://www.fao.org/3/y4671e/y4671e06.htm,middle income countries,Category
https://www.fao.org/3/y4671e/y4671e06.htm,upper income countries,Category
https://www.fao.org/3/y4671e/y4671e06.htm,development categories,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,shocks,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,agricultural productivity growth,Process
https://www.fao.org/3/y4671e/y4671e06.htm,country performance,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,dependent variable,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,proxy variables,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,agricultural trade regime,Concept
https://www.fao.org/3/y4671e/y4671e06.htm,trade and food security,Concept
